chr,start,end,id,orientation
chr1,4132793,4132812,0,-
chr1,4322749,4322768,0,-
chr1,4336457,4336476,0,-
chr1,4406980,4406999,0,-
chr1,4482184,4482203,0,+
chr1,4482250,4482269,0,+
chr1,4506813,4506832,0,+
chr1,4758623,4758642,0,-
chr1,4760136,4760155,0,+
chr1,4760261,4760280,0,-
chr1,4770356,4770375,0,-
chr1,4770359,4770378,0,+
chr1,4845877,4845896,0,+
chr1,5008146,5008165,0,+
chr1,5060496,5060514,14,-
chr1,5173763,5173781,15,+
chr1,5895083,5895101,16,-
chr1,5905574,5905592,17,+
chr1,6125347,6125365,18,-
chr1,6134174,6134192,19,-
chr1,6142709,6142727,20,-
chr1,6262528,6262546,21,+
chr1,6372955,6372973,22,+
chr1,6372876,6372894,23,-
chr1,6396586,6396604,24,+
chr1,6408152,6408170,25,-
chr1,6473524,6473542,26,+
chr1,6849282,6849300,27,-
chr1,6849285,6849303,28,+
chr1,6987892,6987910,29,-
chr1,7195026,7195044,30,-
chr1,7195028,7195046,31,+
chr1,7387511,7387529,32,+
chr1,7387509,7387527,33,-
chr1,7387129,7387147,34,-
chr1,7387131,7387149,35,+
chr1,7388464,7388482,36,+
chr1,7388291,7388309,37,+
chr1,7388399,7388417,38,-
chr1,7533753,7533771,39,+
chr1,8750549,8750567,40,-
chr1,9439286,9439304,41,+
chr1,9459717,9459735,42,+
chr1,9531495,9531513,43,-
chr1,9531551,9531569,44,-
chr1,9531508,9531526,45,+
chr1,9531564,9531582,46,+
chr1,9535416,9535434,47,-
chr1,9563485,9563503,48,+
chr1,9611675,9611693,49,+
chr1,9693323,9693341,50,-
chr1,9763024,9763042,51,+
chr1,9980266,9980284,52,+
chr1,10029759,10029777,53,+
chr1,10079806,10079824,54,-
chr1,10187216,10187234,55,+
chr1,10388119,10388137,56,+
chr1,10388166,10388184,57,-
chr1,10478490,10478508,58,+
chr1,10749857,10749875,59,-
chr1,10749859,10749877,60,+
chr1,11224147,11224165,61,+
chr1,11376095,11376113,62,+
chr1,11404340,11404358,63,-
chr1,11456595,11456613,64,-
chr1,11555599,11555617,65,-
chr1,11647974,11647992,66,+
chr1,12689331,12689349,67,-
chr1,12691892,12691910,68,+
chr1,12827067,12827085,69,-
chr1,12832943,12832961,70,-
chr1,12832887,12832905,71,-
chr1,12854302,12854320,72,+
chr1,12926062,12926080,73,-
chr1,12980437,12980455,74,+
chr1,12982841,12982859,75,+
chr1,13040399,13040417,76,+
chr1,13042238,13042256,77,+
chr1,13124551,13124569,78,-
chr1,13124598,13124616,79,-
chr1,13128524,13128542,80,+
chr1,13133132,13133150,81,+
chr1,13141317,13141335,82,+
chr1,13189365,13189383,83,-
chr1,13217501,13217519,84,-
chr1,13345949,13345967,85,+
chr1,13363143,13363161,86,+
chr1,13490746,13490764,87,-
chr1,13521765,13521783,88,-
chr1,13580099,13580117,89,-
chr1,13580079,13580097,90,-
chr1,13622473,13622491,91,-
chr1,13687617,13687635,92,-
chr1,13696590,13696608,93,+
chr1,13774652,13774670,94,+
chr1,13779467,13779485,95,+
chr1,13829893,13829911,96,+
chr1,14719313,14719331,97,-
chr1,14730289,14730307,98,+
chr1,14852625,14852643,99,-
chr1,14970585,14970603,100,-
chr1,14997906,14997924,101,+
chr1,15007932,15007950,102,-
chr1,15101685,15101703,103,-
chr1,15317628,15317646,104,-
chr1,15612168,15612186,105,-
chr1,15673900,15673918,106,-
chr1,15782184,15782202,107,-
chr1,15892714,15892732,108,-
chr1,15997157,15997175,109,-
chr1,16052191,16052209,110,-
chr1,16058335,16058353,111,-
chr1,16105489,16105507,112,+
chr1,16150357,16150375,113,-
chr1,16423659,16423677,114,-
chr1,16430470,16430488,115,+
chr1,16481436,16481454,116,-
chr1,16509858,16509876,117,-
chr1,16544205,16544223,118,+
chr1,16544242,16544260,119,+
chr1,16567975,16567993,120,-
chr1,16622022,16622040,121,+
chr1,16788591,16788609,122,+
chr1,17103308,17103326,123,+
chr1,17113693,17113711,124,-
chr1,17153800,17153818,125,+
chr1,17970896,17970914,126,+
chr1,18003110,18003128,127,-
chr1,18096433,18096451,128,-
chr1,18097010,18097028,129,-
chr1,18121962,18121980,130,-
chr1,18279135,18279153,131,-
chr1,18783938,18783956,132,-
chr1,18966989,18967007,133,-
chr1,19046599,19046617,134,-
chr1,19169289,19169307,135,-
chr1,19195836,19195854,136,+
chr1,19196456,19196474,137,+
chr1,19280377,19280395,138,+
chr1,20301769,20301787,139,+
chr1,20440378,20440396,140,-
chr1,20503987,20504005,141,-
chr1,20534792,20534810,142,-
chr1,20544674,20544692,143,-
chr1,20544709,20544727,144,-
chr1,20602981,20602999,145,+
chr1,20690275,20690293,146,+
chr1,20752527,20752545,147,+
chr1,20791983,20792001,148,-
chr1,20881187,20881205,149,-
chr1,20881251,20881269,150,+
chr1,20923690,20923708,151,+
chr1,20929306,20929324,152,+
chr1,20933298,20933316,153,-
chr1,21091492,21091510,154,-
chr1,21152084,21152102,155,-
chr1,21156437,21156455,156,+
chr1,21203778,21203796,157,-
chr1,21208648,21208666,158,+
chr1,21208731,21208749,159,-
chr1,21261735,21261753,160,-
chr1,21261672,21261690,161,+
chr1,21266429,21266447,162,+
chr1,21334586,21334604,163,-
chr1,21334589,21334607,164,+
chr1,21401469,21401487,165,+
chr1,21451356,21451374,166,+
chr1,21512313,21512331,167,-
chr1,21973340,21973358,168,-
chr1,22259245,22259263,169,-
chr1,22367955,22367973,170,+
chr1,22376625,22376643,171,-
chr1,22494341,22494359,172,-
chr1,22763435,22763453,173,-
chr1,22763445,22763463,174,-
chr1,23069020,23069038,175,-
chr1,23121837,23121855,176,+
chr1,23175532,23175550,177,+
chr1,23331266,23331284,178,+
chr1,23691487,23691505,179,+
chr1,23712553,23712571,180,+
chr1,23712540,23712558,181,-
chr1,23769789,23769807,182,+
chr1,23799782,23799800,183,-
chr1,23834100,23834118,184,+
chr1,23834173,23834191,185,+
chr1,23913111,23913129,186,+
chr1,24002460,24002478,187,-
chr1,24008469,24008487,188,+
chr1,24008440,24008458,189,+
chr1,24008466,24008484,190,+
chr1,24008507,24008525,191,-
chr1,24083239,24083257,192,-
chr1,24141900,24141918,193,-
chr1,24144154,24144172,194,+
chr1,24143917,24143935,195,+
chr1,24178487,24178505,196,-
chr1,24256165,24256183,197,-
chr1,24304427,24304445,198,-
chr1,24304437,24304455,199,-
chr1,24307734,24307752,200,-
chr1,24309686,24309704,201,+
chr1,24344571,24344589,202,-
chr1,24344573,24344591,203,+
chr1,24374567,24374585,204,+
chr1,24381943,24381961,205,-
chr1,24685427,24685445,206,+
chr1,24773885,24773903,207,+
chr1,24773875,24773893,208,+
chr1,24958304,24958322,209,+
chr1,25567348,25567366,210,+
chr1,25673996,25674014,211,-
chr1,25753763,25753781,212,-
chr1,25883808,25883826,213,-
chr1,26956938,26956956,214,-
chr1,27957302,27957320,215,+
chr1,30316575,30316593,216,-
chr1,30641883,30641901,217,-
chr1,30653142,30653160,218,-
chr1,30757418,30757436,219,+
chr1,30797868,30797886,220,+
chr1,30835692,30835710,221,+
chr1,30837294,30837312,222,+
chr1,30977790,30977808,223,+
chr1,30977877,30977895,224,+
chr1,30987874,30987892,225,-
chr1,31005361,31005379,226,-
chr1,31211010,31211028,227,-
chr1,31267151,31267169,228,+
chr1,32757177,32757195,229,-
chr1,33022013,33022031,230,+
chr1,33260515,33260533,231,-
chr1,33593649,33593667,232,-
chr1,33622766,33622784,233,+
chr1,33622729,33622747,234,-
chr1,33654058,33654076,235,+
chr1,33654096,33654114,236,-
chr1,33720187,33720205,237,+
chr1,33729513,33729531,238,+
chr1,33741502,33741520,239,+
chr1,33796383,33796401,240,-
chr1,33799868,33799886,241,-
chr1,33799754,33799772,242,-
chr1,33903849,33903867,243,+
chr1,33932724,33932742,244,-
chr1,33949800,33949818,245,+
chr1,33964485,33964503,246,-
chr1,34021639,34021657,247,-
chr1,34023365,34023383,248,-
chr1,34062664,34062682,249,+
chr1,34068101,34068119,250,+
chr1,34068013,34068031,251,+
chr1,34125362,34125380,252,-
chr1,34150691,34150709,253,+
chr1,34221683,34221701,254,-
chr1,34246980,34246998,255,+
chr1,34258491,34258509,256,+
chr1,34275349,34275367,257,+
chr1,34347848,34347866,258,-
chr1,34347858,34347876,259,-
chr1,34519842,34519860,260,+
chr1,34542886,34542904,261,+
chr1,34543049,34543067,262,-
chr1,34544444,34544462,263,-
chr1,34568097,34568115,264,+
chr1,34598219,34598237,265,+
chr1,34659402,34659420,266,-
chr1,34699480,34699498,267,+
chr1,34699631,34699649,268,+
chr1,34757715,34757733,269,-
chr1,34795388,34795406,270,+
chr1,34832562,34832580,271,-
chr1,34833460,34833478,272,+
chr1,34924186,34924204,273,+
chr1,34924316,34924334,274,-
chr1,34950812,34950830,275,+
chr1,34953954,34953972,276,-
chr1,34969025,34969043,277,-
chr1,35018688,35018706,278,-
chr1,35089642,35089660,279,+
chr1,35323673,35323691,280,-
chr1,35323649,35323667,281,+
chr1,35442398,35442416,282,-
chr1,35445196,35445214,283,+
chr1,35522125,35522143,284,-
chr1,35535283,35535301,285,-
chr1,35772977,35772995,286,-
chr1,35773106,35773124,287,-
chr1,35783640,35783658,288,+
chr1,35896531,35896549,289,+
chr1,35896432,35896450,290,+
chr1,35903577,35903595,291,-
chr1,36067190,36067208,292,-
chr1,36121909,36121927,293,-
chr1,36191644,36191662,294,-
chr1,36191505,36191523,295,+
chr1,36206448,36206466,296,-
chr1,36309851,36309869,297,-
chr1,36311657,36311675,298,-
chr1,36313279,36313297,299,+
chr1,36334300,36334318,300,-
chr1,36336232,36336250,301,-
chr1,36336234,36336252,302,+
chr1,36378806,36378824,303,-
chr1,36381060,36381078,304,+
chr1,36511451,36511469,305,+
chr1,36528587,36528605,306,-
chr1,36549458,36549476,307,-
chr1,36558323,36558341,308,-
chr1,36558190,36558208,309,-
chr1,36568318,36568336,310,-
chr1,36570744,36570762,311,+
chr1,36570819,36570837,312,-
chr1,36604229,36604247,313,+
chr1,36604297,36604315,314,+
chr1,36614095,36614113,315,-
chr1,36673009,36673027,316,-
chr1,36691979,36691997,317,-
chr1,36741163,36741181,318,-
chr1,36741109,36741127,319,+
chr1,36794345,36794363,320,+
chr1,36801629,36801647,321,-
chr1,36801442,36801460,322,+
chr1,36803498,36803516,323,-
chr1,36841667,36841685,324,+
chr1,36841805,36841823,325,+
chr1,36843422,36843440,326,+
chr1,36878946,36878964,327,+
